Time,Image Name,Latitude,Longitude,Altitude,Albedo,Temperature
14:29:42,image_72,"(2.0, 50.0, 3.36519)","(102.0, 34.0, 57.51156)",421027,0.464029429,253.1395278
14:30:12,image_73,"(4.0, 21.0, 36.05567)","(101.0, 30.0, 9.19764)",421195,0.382479026,262.2110732
14:30:42,image_74,"(5.0, 52.0, 57.22899)","(100.0, 25.0, 6.4974)",421384,0.38671099,261.7019618
14:31:12,image_75,"(7.0, 24.0, 13.54009)","(99.0, 19.0, 36.61532)",421593,0.534469441,244.2137185
14:31:42,image_76,"(8.0, 55.0, 20.89156)","(98.0, 13.0, 34.21524)",421822,0.516891092,246.4202259
14:32:12,image_77,"(10.0, 25.0, 59.30497)","(97.0, 7.0, 5.53678)",422069,0.571554785,239.0626887
14:32:42,image_78,"(11.0, 56.0, 32.07278)","(95.0, 59.0, 44.93299)",422335,0.506996564,247.521913
14:33:16,image_79,"(13.0, 38.0, 45.60623)","(94.0, 42.0, 23.8428)",422657,0.51166975,246.8391699
14:33:46,image_80,"(15.0, 8.0, 32.77176)","(93.0, 33.0, 7.00103)",422959,0.553937669,241.228966
14:34:16,image_81,"(16.0, 37.0, 41.39918)","(92.0, 22.0, 54.36491)",423274,0.486459355,249.7828478
14:34:46,image_82,"(18.0, 6.0, 23.66208)","(91.0, 11.0, 26.61868)",423604,0.54453661,242.3053736
14:35:16,image_83,"(19.0, 34.0, 32.47262)","(89.0, 58.0, 39.01321)",423945,0.728377749,212.8463859
14:35:46,image_84,"(21.0, 2.0, 16.93554)","(88.0, 44.0, 12.73758)",424299,0.634887072,229.0870301
14:36:16,image_85,"(22.0, 28.0, 57.45011)","(87.0, 28.0, 30.3694)",424660,0.553617096,240.7885958
14:36:46,image_86,"(23.0, 55.0, 15.92285)","(86.0, 10.0, 43.27889)",425031,0.707017083,216.6356739
14:37:16,image_87,"(25.0, 20.0, 32.94046)","(84.0, 51.0, 13.89488)",425408,0.283333676,270.8046556
14:37:46,image_88,"(26.0, 44.0, 57.49202)","(83.0, 29.0, 40.99373)",425789,0.27263567,271.6880172
14:38:16,image_89,"(28.0, 8.0, 9.15997)","(82.0, 6.0, 10.95952)",426173,0.281872848,270.6992636
14:38:46,image_90,"(29.0, 30.0, 26.40298)","(80.0, 40.0, 10.71408)",426559,0.538091314,242.3143761
14:39:16,image_91,"(30.0, 51.0, 54.67738)","(79.0, 11.0, 16.84108)",426946,0.430352822,255.2376377
14:40:46,image_92,"(34.0, 47.0, 28.52106)","(74.0, 28.0, 42.41194)",428085,0.302711021,268.1130162
14:41:16,image_93,"(36.0, 3.0, 17.3137)","(72.0, 47.0, 53.08958)",428454,0.286715649,269.521414
14:41:46,image_94,"(37.0, 16.0, 59.48976)","(71.0, 4.0, 11.2075)",428813,0.419205912,255.9182625
14:42:16,image_95,"(38.0, 29.0, 4.08955)","(69.0, 16.0, 35.09216)",429161,0.409266476,256.9019989
14:42:46,image_96,"(39.0, 39.0, 24.55582)","(67.0, 24.0, 47.37398)",429499,0.427425266,254.8042513
